시설이름,분류,주소
부산광역시립중앙도서관,도서관,부산 중구 망양로193번길 146
중구일자리지원센터,일자리센터,부산 중구 중구로 97
카페24창업센터 부산중앙점,공유오피스,부산 중구 대청로 135
비즈프라 부산역센터,공유오피스,부산 중구 대영로 235 제일빌딩 8층
창업공간,공유오피스,"부산 중구 광복중앙로 28-1 지하1층, 3층, 5층, 6층"
청년작당소,복합문화공간,부산 중구 광복중앙로 13 BNK아트시네마 3층 청년작당소
청년커뮤니티공간 뿌리,커뮤니티공간,부산 중구 중앙대로 17 광복지하도상가 A66 뿌리
중구 청년센터 청년마루,지역복지센터,부산 중구 법수길 61 2-3층
