소재지,Latitude,Longitude,도로명,주택유형,건축년도,건축구조,전용면적,건축면적,연면적,대지면적
부산광역시 해운대구 우동 397-38,35.166342,129.1571567,우동1로49번가길 16,단독주택,1985,블록구조,,29.6,29.6,30
부산광역시 해운대구 우동 397-97,35.1663999,129.1571474,우동1로49번가길 17,단독주택,1973,블록구조,,23.14,23.14,63
부산광역시 해운대구 우동 397-58,35.1664462,129.1570634,우동1로49번가길 15-4,단독주택,1973,블록구조,,33.06,33.06,83
부산광역시 해운대구 우동 397-53,35.1665914,129.1565881,우동1로49번가길 15-13,단독주택,1972,블록구조,,42.98,42.98,99
부산광역시 해운대구 우동 446-6,35.1665563,129.1595221,우동1로38번길 31-12,단독주택,1974,블록구조,,47.08,47.08,106
부산광역시 해운대구 중동 1550,35.1666372,129.1642955,우동3로 6-27,단독주택,1969,블록구조,,41.98,41.98,102
부산광역시 해운대구 우동 397-92,35.1673656,129.1569856,우동1로 69-4,단독주택,1985,블록구조,,104.94,104.94,66
부산광역시 해운대구 우동 178-9,35.1673628,129.1611478,우동2로30번가길 10-7,단독주택,1991,벽돌구조,,46.61,89.44,108
부산광역시 해운대구 우동 161,35.1673961,129.1598726,우동2로32번길 2-6,단독주택,1992,기타조적구조,,28.22,56.44,53
부산광역시 해운대구 우동 179-6,35.1673751,129.1613648,우동2로30번가길 20-13,단독주택,1969,벽돌구조,,49.59,49.59,99
부산광역시 해운대구 우동 179-10,35.167377,129.161553,우동2로30번가길 20-7,단독주택,1973,블록구조,,38.02,38.02,93
부산광역시 해운대구 우동 398-18,35.1675158,129.1582702,우동1로20번가길 60-8,단독주택,1992,기타조적구조,,66.72,131.67,112.27
부산광역시 해운대구 우동 198-9,35.1677076,129.162735,우동3로11번길 8-10,단독주택,1973,블록구조,,49.59,68.76,155
부산광역시 해운대구 우동 387-1,35.1678251,129.1563366,우동1로71번길 20,연립,1992,철근콘크리트구조,27.34,227.3,1147.23,393
부산광역시 해운대구 우동 232-28,35.16781,129.1601524,우동2로30번길 17-13,단독주택,1976,블록구조,,56.2,56.2,152
부산광역시 해운대구 우동 232-18,35.1678314,129.1602768,우동2로30번길 17-11,다세대,1979,블록구조,49.65,99.3,198.6,166
부산광역시 해운대구 우동 232-18,35.1678314,129.1602768,우동2로30번길 17-11,다세대,1979,블록구조,49.65,99.3,198.6,166
부산광역시 해운대구 우동 1074-8,35.1686544,129.1403088,해운대로391번길 24-1,단독주택,1974,블록구조,,67.21,67.21,126
부산광역시 해운대구 우동 1074-3,35.1686957,129.1404081,해운대로391번길 24,단독주택,1974,블록구조,,64.46,64.46,122
부산광역시 해운대구 우동 1074-4,35.1687383,129.1402735,해운대로391번길 22,단독주택,1970,블록구조,,46.61,46.61,149
부산광역시 해운대구 우동 1087-22,35.168824,129.1401491,해운대로391번길 18,단독주택,1985,블록구조,,27,54,60
부산광역시 해운대구 우동 1087-20,35.1688374,129.1399213,해운대로391번길 10-3,단독주택,1985,블록구조,,34.2,34.2,56
부산광역시 해운대구 우동 248-6,35.1684552,129.1612345,우동2로32번길 48-6,연립,1980,벽돌구조,64.1,316.26,797.1,532
부산광역시 해운대구 우동 238,35.1685509,129.1599377,우동2로32번길 43-11,다세대,1993,철근콘크리트구조,61.82,324.29,1269.89,558.58
