,주소
금정구,부산광역시 금정구 부산대학로64번길 81-5(장전동)
,부산광역시 금정구 식물원로9번길 20(장전동)
수영구,부산광역시 수영구 무학로64번길 25(민락동) 
,"부산광역시 수영구 광일로20번길 20-25(광안동, 두산킹덤)"
,"부산광역시 수영구 망미번영로91번길 14(망미동,센텀뷰) "
연제구,"부산광역시 연제구 거제대로96번길 39(거제동, 넘버원빌)"
해운대구,부산광역시 해운대구 양운로 53(좌동) 
