연번,시설명,시설유형,주소
1,드림워크,공유오피스,부산 연제구 연제로 30 시청비스타동원오피스텔동
2,연제구 사회적경제 공유오피스,공유오피스,부산 연제구 중앙대로1038번길 40 204동
3,비즈업 공유오피스,공유오피스,"부산광역시 연제구 월드컵대로 160 JH빌딩 5F, 6F"
4,연제구 일자리종합정보센터,일자리센터,"부산광역시 연제구 연제로 2 (연산동, 연제구청 1층)"
5,부산고용복지+센터,일자리센터,부산광역시 부산진구 중앙대로 993
